title,UPC,star_rating,price,in_stock,stock_count,link
The Bear and the Piano,9f6568e9c95f60b0,1,36.89,True,18,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,6be3beb0793a53e7,5,15.94,True,18,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,668fe56b17cfcd4f,3,33.29,True,18,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,094b269567e1c300,2,18.02,True,18,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",19ed25f4641d5efd,1,19.63,True,18,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,be5cc846f45496fb,4,52.22,True,18,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them all: Poems,55f9da0c5eea2e10,2,33.63,True,17,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,b4fd5943413e089a,3,57.31,True,17,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,c8f7f0cb1abb9cac,2,26.41,True,17,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),b12b89017878a60d,5,47.61,True,17,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,c27f6e1f185b0383,5,23.11,True,17,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),acddfeab2a407640,2,45.07,True,16,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
When We Collided,3ecb690d1542c568,1,31.77,True,16,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie Freeman",8d455c7539795d2a,5,50.27,True,16,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,657fe5ead67a7767,4,14.27,True,16,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",d170b5a0da46380e,4,44.18,True,16,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,7ae099f3898e0209,3,18.78,True,16,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",9a9d6e9bc555731e,1,25.52,True,16,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),09555be379ad9253,1,16.28,True,16,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,7858914fad68493c,3,31.12,True,16,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
This One Summer,51653ef291ab7ddc,4,19.49,True,16,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Thirst,709822d0b5bcb7f4,5,17.27,True,16,https://books.toscrape.com/catalogue/thirst_946/index.html
The Torch Is Passed: A Harding Family Story,4eed62cf5f8d8edf,1,19.09,True,16,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
The Secret of Dreadwillow Carse,b5ea0b5dabed25a8,1,56.13,True,16,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",142d767a56a9254d,1,56.41,True,16,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Past Never Ends,5ee94540d0749ea0,4,56.5,True,16,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
The Natural History of Us (The Fine Art of Pretending #2),cedf82b5086e4691,3,45.22,True,16,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
The Nameless City (The Nameless City #1),7d385d34d12e60ff,4,38.16,True,16,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Murder That Never Was (Forensic Instincts #5),d01ac97e2b8947c2,3,54.11,True,16,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,aadee1c326d286e3,4,42.96,True,16,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",31075275518532d7,4,23.89,True,16,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,0da9aa9d24677fc0,3,16.77,True,16,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",8c9e6bf2467d740d,5,20.59,True,16,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,acd86a5426e21ca0,1,37.13,True,16,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,a30b270e25489e5c,1,56.06,True,16,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
The Death of Humanity: and the Case for Life,bd261725b99f5983,4,58.11,True,16,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",43c6a960757cf559,3,49.05,True,16,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
The Art Forger,80cfab6bcff3a244,3,40.76,True,16,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,a3d2a4250807f1e9,1,19.73,True,16,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,7d6d2a6c0276f81b,5,32.24,True,16,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,87b0615b6e1f4d7b,4,41.83,True,16,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
Soul Reader,e6af5bf1163c1151,2,39.58,True,16,https://books.toscrape.com/catalogue/soul-reader_926/index.html
Security,6f78a0d744c35456,2,39.25,True,16,https://books.toscrape.com/catalogue/security_925/index.html
"Saga, Volume 6 (Saga (Collected Editions) #6)",c849f0b2f5d6a742,3,25.02,True,16,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",53a3d11bb568cc8b,2,51.04,True,16,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,d7310206583a54b6,2,19.83,True,16,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",c82a3e358c773c73,3,50.4,True,16,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",0fa6dceead7ce47a,5,13.61,True,16,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Princess Between Worlds (Wide-Awake Princess #5),0e691eda369f4e09,5,13.34,True,16,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
"Pop Gun War, Volume 1: Gift",e80f8e518b300dfe,1,18.97,True,16,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",7392c0032f92d816,2,36.28,True,16,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
Patience,9429b4d59c537af5,3,10.16,True,16,https://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",889139b8e9c4cb36,4,15.44,True,16,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),11809b1d323b3057,1,48.41,True,16,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
Online Marketing for Busy Authors: A Step-By-Step Guide,9ffa38d3b832433a,1,46.35,True,16,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
On a Midnight Clear,b757c0c361e689ce,3,14.07,True,16,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
Obsidian (Lux #1),3c346ab1e76ae1f6,2,14.86,True,16,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
My Paris Kitchen: Recipes and Stories,784bc2279baa878d,2,33.37,True,16,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
Masks and Shadows,fa9610a50a1bf149,2,56.4,True,16,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",72f9d5be3472d34e,4,14.02,True,16,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",460089f796fb3f82,2,46.91,True,16,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",b6ee99bcf06fc91f,3,45.61,True,16,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),57e5a4d515c8ce44,2,19.92,True,16,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"Layered: Baking, Building, and Styling Spectacular Cakes",7b75cc7f223791f4,1,40.11,True,16,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),228f74b74f3a08ae,2,53.9,True,16,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
Join,18ad3ed896c7ce05,5,35.67,True,16,https://books.toscrape.com/catalogue/join_902/index.html
In the Country We Love: My Family Divided,b136b1b180ca753a,4,22.0,True,16,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,e4f74c16de34d440,5,57.36,True,16,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",8d4eefad7a2b3915,2,29.17,True,16,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,1c89ae5bb804e4de,3,54.63,True,16,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
How to Be Miserable: 40 Strategies You Already Use,a6f99b9e687f9d46,1,46.03,True,16,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html
Her Backup Boyfriend (The Sorensen Family #1),2a97cffe61c3c4c7,1,33.97,True,16,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",f2df3bb043a8abb0,2,22.11,True,16,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,9beb96a2300109d7,3,29.69,True,16,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
First and First (Five Boroughs #3),9e28048cea8d41f7,4,15.97,True,16,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
Fifty Shades Darker (Fifty Shades #2),7add3f8e49ec0826,1,21.96,True,16,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,311c0dd0e354a33e,2,54.35,True,16,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",fce19f9b4a943f22,2,37.97,True,16,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
Danganronpa Volume 1,09b6cc87e62c2c58,4,51.99,True,16,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
Crown of Midnight (Throne of Glass #2),7267864328ae8b9d,3,43.29,True,16,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",8754c83ab2a7ae71,4,36.72,True,16,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Camp Midnight,7b599c8bfcdd8d30,4,17.08,True,16,https://books.toscrape.com/catalogue/camp-midnight_886/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,bee3672891cca906,5,29.14,True,16,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
Burning,5ceb951f629700a2,3,28.81,True,16,https://books.toscrape.com/catalogue/burning_884/index.html
Bossypants,74baabfc8fd84b38,2,49.46,True,16,https://books.toscrape.com/catalogue/bossypants_883/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",bdf415fd484ea8a7,2,37.92,True,16,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",6d5300b2d8f37e07,2,28.09,True,16,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html
Algorithms to Live By: The Computer Science of Human Decisions,38d45839cb1c83c1,1,30.81,True,16,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
A World of Flavor: Your Gluten Free Passport,70ed59f194b3c556,1,42.95,True,16,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",8a380641491d43ed,5,56.76,True,16,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html
A Murder in Time,f733e8c19d40ec2e,1,16.64,True,16,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
A Flight of Arrows (The Pathfinders #2),3a6fb983e2554023,5,55.53,True,16,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
A Fierce and Subtle Poison,842790dfaa937484,4,28.13,True,16,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html
A Court of Thorns and Roses (A Court of Thorns and Roses #1),01d2001ac1e6f8a3,1,52.37,True,16,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html
(Un)Qualified: How God Uses Broken People to Do Big Things,e4ac92d89b946781,5,54.0,True,16,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html
You Are What You Love: The Spiritual Power of Habit,796c87ddbbaaf8c5,4,21.87,True,15,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",9270575728a13a61,4,43.3,True,15,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
Tuesday Nights in 1980,b8736690cf263a3c,2,21.04,True,15,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
Tracing Numbers on a Train,d7d6d50c1e3d0b81,3,41.6,True,15,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html
Throne of Glass (Throne of Glass #1),590a9cccf7db9f7d,3,35.07,True,15,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,de3f25248ba0789f,1,59.64,True,15,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html
Thirteen Reasons Why,bc2a85fd35fdc7bd,1,52.72,True,15,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,37c0cb19713d8dda,4,58.08,True,15,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html
The Wedding Dress,623e1a180426039b,1,24.12,True,15,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
The Vacationers,fd3a622648667296,4,42.15,True,15,https://books.toscrape.com/catalogue/the-vacationers_863/index.html
The Third Wave: An Entrepreneur’s Vision of the Future,3bebf34ee9330cbd,5,12.61,True,15,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
The Stranger,f5a92cff83897d48,4,17.44,True,15,https://books.toscrape.com/catalogue/the-stranger_861/index.html
The Shadow Hero (The Shadow Hero),d6361d16212664ed,1,33.14,True,15,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html
The Secret (The Secret #1),961f18db4f138211,4,27.37,True,15,https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html
The Regional Office Is Under Attack!,0651062381f0636a,5,51.36,True,15,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html
The Psychopath Test: A Journey Through the Madness Industry,e98a4efa85070c2f,2,36.0,True,15,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html
The Project,790ef197c8f236f5,1,10.65,True,15,https://books.toscrape.com/catalogue/the-project_856/index.html
The Power of Now: A Guide to Spiritual Enlightenment,8ec14b1576cb7cb5,2,43.54,True,15,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html
The Omnivore's Dilemma: A Natural History of Four Meals,209adad1015af86f,2,38.21,True,15,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,e4c7f3487d17fd42,5,37.34,True,15,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),c7b5183f4d1d4efe,4,44.1,True,15,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Mistake (Off-Campus #2),99ff4cc6491e8f5c,3,43.29,True,15,https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html
The Matchmaker's Playbook (Wingmen Inc. #1),08db62f24627e71f,1,55.85,True,15,https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,e28e330cbdf01126,2,37.6,True,15,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html
The Long Shadow of Small Ghosts: Murder and Memory in an American City,abeafe151a587d3b,1,10.97,True,15,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html
The Kite Runner,eac1a180047ad54e,4,41.82,True,15,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html
The House by the Lake,9287e238d7c3b06e,1,36.95,True,15,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
The Glittering Court (The Glittering Court #1),2dbb7ec08cdd7f3c,1,44.28,True,15,https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html
The Girl on the Train,e956d67c9bcc5809,2,55.02,True,15,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html
The Genius of Birds,42d0d7c92b75fc1c,1,17.24,True,15,https://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html
The Emerald Mystery,d6670dfe3e7b42bd,2,23.15,True,15,https://books.toscrape.com/catalogue/the-emerald-mystery_842/index.html
